utility_to_osm - WARNING - ssr:stedsnr = 304189 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304307 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304376 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304381 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304609 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304906 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304920 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305108 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304870 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 304871 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305019 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305021 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305023 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305025 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305029 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305526 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305411 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305419 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305434 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305435 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305457 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305463 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305478 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305973 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305976 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305978 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306912 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306958 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 326179: No priority spelling found for lang = no, using alt_name to get "[('no', 'Heiane')]"
utility_to_osm - WARNING - ssr:stedsnr = 326179 has multiple (17) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 330479 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 330483 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 330494 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 330504 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 330514 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 330519 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 331007 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 331010 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 331018 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 331354 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 331359 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 331493 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 339118 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 472153 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 339711 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 343814. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 344969. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 344978: No priority spelling found for lang = no, using alt_name to get "[('no', 'Bjørnstadvegen')]"
utility_to_osm - ERROR - ssr:stedsnr = 344978. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 351214 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 352816 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 358748. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 364938 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 364899 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365018 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365308 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365207 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365240 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365247 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365249 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365408 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365417 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365399 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365502 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365506 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365494 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 365608 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366220 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366333 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366344 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366441 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366906 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366976 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 480529. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 391403 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 391410 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 391385 has multiple (2) positions, using the first one!
