utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3007/3007-ssr.xml? Trying to re-download
utility_to_osm - ERROR - ssr:stedsnr = 267669. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 267848. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 267976. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 268301. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 268317. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 206904. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 206851 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 207293. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 207298. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 207545. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 207696. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 207936. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 208043: No priority spelling found for lang = no, using alt_name to get "[('no', 'Nedre Stubbdal')]"
utility_to_osm - ERROR - ssr:stedsnr = 208114. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 208192 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 208816 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 208990: No priority spelling found for lang = no, using alt_name to get "[('no', 'Kvernstusetra')]"
utility_to_osm - ERROR - ssr:stedsnr = 208993. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 269139: No priority spelling found for lang = no, using alt_name to get "[('no', 'Granumsetra')]"
utility_to_osm - WARNING - ssr:stedsnr = 269199 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 210880. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 211193 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 211342: No priority spelling found for lang = no, using alt_name to get "[('no', 'Nedre Fjellsetra')]"
utility_to_osm - ERROR - ssr:stedsnr = 211809. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 269740. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 269847. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 269989: No priority spelling found for lang = no, using alt_name to get "[('no', 'Bråtasetra')]"
utility_to_osm - WARNING - ssr:stedsnr = 228891 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 451074. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 449837. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 449854 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 449896. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 449971 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 449962. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 449964. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 450043. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 235197: No priority spelling found for lang = no, using alt_name to get "[('no', 'Nordre Gaupeskardet')]"
utility_to_osm - WARNING - ssr:stedsnr = 235813: No priority spelling found for lang = no, using alt_name to get "[('no', 'Venekoll')]"
utility_to_osm - ERROR - ssr:stedsnr = 450677. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 450638. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 450662. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 239286: No priority spelling found for lang = no, using alt_name to get "[('no', 'Pumpehusveien')]"
utility_to_osm - ERROR - ssr:stedsnr = 239286. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 451061. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 451785. No positions found, skipping
