utility_to_osm - WARNING - ssr:stedsnr = 129104 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129083 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129087 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129090 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129282 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129283 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129403 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129428 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252484 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129338 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129377 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129510 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129806 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129810 has multiple (8) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129812 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129851 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129716 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129720 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129722 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129723 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129738 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129781 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129794 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129795 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252501 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252503 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252506 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129929 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129930 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129979 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129874 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 129877 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252551 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130302 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130304 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130307 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130310 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130505 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130512 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130521 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130529 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130279 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130607 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252565 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130915 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252583 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130975 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130976 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 130982 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252626 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131471 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131492 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131602 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131616 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131626 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131514 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131599 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 131811 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253591 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253533 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253549 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253557 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 253558 has multiple (6) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 141485. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 141487 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 147304 has multiple (2) positions, using the first one!
